name,company,year,Price,kms_driven,fuel_type
Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000",3200,Diesel
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,"3,40,000",48000,Diesel
Tata Vista Quadrajet VX,Tata,2011,"1,20,000",90000,Diesel
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,"2,65,000",12000,Petrol
Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2019,"3,79,000","0,000 ",Diesel
Hyundai i10 Magna 1.2,Hyundai,2011,"1,75,000",45000,Petrol
Maruti Suzuki Alto 800,Maruti,2015,"2,19,000",5000,Petrol
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,"3,50,000","1,66,000 ",Diesel
Honda City ZX EXi,Honda,2008,"1,49,000",42000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,"3,85,000",588,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2006,"4,25,000",122,Diesel
Chevrolet Beat Diesel,Chevrolet,2017,"1,50,000",62000,Diesel
Honda City 1.5 S MT,Honda,2010,"2,25,000",70000,Petrol
Hyundai Verna 1.4 VTVT,Hyundai,2014,"3,75,000",36000,Petrol
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,"7,70,000",0,Diesel
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000,55000,Petrol
Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel
Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel
Maruti Suzuki Swift,Maruti,2014,"3,35,000",55000,Diesel
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,"4,50,000",20000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,"2,25,000",40000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Tata Indigo LX TDI BS III,Tata,2016,"1,30,000","1,04,000 ",Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000",65000,Diesel
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,"3,99,000",41000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,"4,50,000",90000,Diesel
Honda City,Honda,2000,65000,80000,Petrol
Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,"1,90,000",36469,Diesel
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,"6,00,000",7800,Petrol
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000",65000,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,40,000",60000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011,"1,55,000",32000,Petrol
Honda Jazz S MT,Honda,2009,"1,69,999",24695,Petrol
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,"4,50,000",15141,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,"1,65,000",65000,Diesel
Maruti Suzuki Alto K10 VXi,Maruti,2014,"2,70,000",22000,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,"2,80,000",59910,Diesel
